 station_train_code,departure_destination_station,train_number
C6083,犀浦-离堆公园,6000C608310
C6084,离堆公园-安靖,6000C608400
C6085,安靖-离堆公园,6000C608500
C6086,离堆公园-犀浦,6000C608610
C6087,犀浦-离堆公园,6000C608710
C6088,离堆公园-犀浦,6000C608810
C6089,犀浦-离堆公园,6000C608910
C6090,离堆公园-安靖,6000C609000
C6091,安靖-离堆公园,6000C609100
C6092,离堆公园-犀浦,6000C609210
C6093,犀浦-离堆公园,6000C609310
C6094,离堆公园-犀浦,6000C609410
C6095,犀浦-离堆公园,6000C609510
C6096,离堆公园-犀浦,6000C609610
C6102,都江堰-犀浦,6000C610240
C6103,成都-都江堰,6000C610307
C6105,犀浦-青城山,6000C610504
C6106,都江堰-犀浦,6000C610607
C6108,青城山-犀浦,6000C610805
C6109,犀浦-青城山,6000C610906
C6110,青城山-安靖,6000C611020
C6111,犀浦-青城山,6000C611150
C6113,安靖-青城山,6000C611304
C6114,青城山-犀浦,6000C611406
C6116,青城山-犀浦,6000C611605
C6117,犀浦-都江堰,6000C611703
C6118,青城山-犀浦,6000C611810
C6119,犀浦-青城山,6000C611905
C6121,犀浦-青城山,6000C612120
C6122,都江堰-犀浦,6000C612204
C6124,青城山-安靖,6000C612403
C6125,犀浦-青城山,6000C612503
C6126,青城山-犀浦,6000C612602
C6127,犀浦-青城山,6000C612704
C6129,安靖-青城山,6000C612903
C6130,青城山-犀浦,6000C613004
C6131,犀浦-青城山,6000C613120
C6132,青城山-犀浦,6000C613204
C6134,青城山-犀浦,6000C613403
C6135,犀浦-青城山,6000C613504
C6136,青城山-安靖,6000C613620
C6137,犀浦-青城山,6000C613705
C6139,犀浦-青城山,6000C613904
C6140,青城山-犀浦,6000C614004
C6141,安靖-青城山,6000C614130
C6142,青城山-犀浦,6000C614203
C6144,青城山-犀浦,6000C614401
C6145,犀浦-青城山,6000C614501
C6146,青城山-犀浦,6000C614620
C6147,犀浦-青城山,6000C614701
C6149,犀浦-青城山,6000C614901
C6150,青城山-犀浦,6000C615000
C6151,犀浦-青城山,6000C615110
C6152,青城山-犀浦,6000C615205
C6154,青城山-犀浦,6000C615405
C6155,犀浦-青城山,6000C615505
C6156,青城山-犀浦,6000C615604
C6157,犀浦-青城山,6000C615704
C6159,犀浦-青城山,6000C615901
C6160,青城山-犀浦,6000C616003
C6161,犀浦-青城山,6000C616110
C6162,青城山-犀浦,6000C616204
C6164,青城山-犀浦,6000C616404
C6165,犀浦-青城山,6000C616503
C6166,青城山-犀浦,6000C616610
C6167,犀浦-青城山,6000C616704
C6169,犀浦-青城山,6000C616900
C6170,青城山-犀浦,6000C617000
C6172,青城山-犀浦,6000C617201
C6173,犀浦-青城山,6000C617300
C6174,青城山-犀浦,6000C617400
C6175,犀浦-青城山,6000C617501
